TIME;CO2;TEMPERATURE;HUMIDITY
2023-01-18T00:02:58+00:00;531;17;62,102
2023-01-18T00:04:01+00:00;530;17;62,103
2023-01-18T00:05:04+00:00;530;17;62,104
2023-01-18T00:06:06+00:00;530;17,1;62,105
2023-01-18T00:07:09+00:00;535;17,1;62,106
2023-01-18T00:08:12+00:00;529;17,1;62,107
2023-01-18T00:09:15+00:00;534;17,2;62,108
2023-01-18T00:10:17+00:00;529;17,3;62,109
2023-01-18T00:11:20+00:00;534;17,3;62,11
2023-01-18T00:12:23+00:00;528;17,4;62,111
2023-01-18T00:13:25+00:00;528;17,3;62,112
2023-01-18T00:14:28+00:00;528;17,3;62,113
2023-01-18T00:15:31+00:00;526;17,3;62,114
2023-01-18T00:16:34+00:00;526;17,2;62,115
2023-01-18T00:17:36+00:00;526;17,2;62,116
2023-01-18T00:18:39+00:00;525;17,1;62,117
2023-01-18T00:19:42+00:00;525;17,1;62,118
2023-01-18T00:20:45+00:00;524;17,1;62,119
2023-01-18T00:21:47+00:00;524;17;62,12
2023-01-18T00:22:50+00:00;524;17;62,121
2023-01-18T00:23:53+00:00;524;17,1;62,122
2023-01-18T00:24:55+00:00;523;17,1;62,123
2023-01-18T00:25:58+00:00;523;17,1;62,124
2023-01-18T00:27:01+00:00;523;17;62,125
2023-01-18T00:28:04+00:00;523;17;62,126
2023-01-18T00:29:07+00:00;522;17;62,127
2023-01-18T00:30:10+00:00;521;17;62,128
2023-01-18T00:31:12+00:00;521;17;62,129
2023-01-18T00:32:15+00:00;521;16,9;62,13
2023-01-18T00:33:18+00:00;521;17;62,131
2023-01-18T00:34:20+00:00;521;17;62,132
2023-01-18T00:35:24+00:00;521;16,9;62,133
2023-01-18T00:36:26+00:00;520;17;62,134
2023-01-18T00:37:29+00:00;520;17;62,135
2023-01-18T00:38:32+00:00;519;17;62,136
2023-01-18T00:39:34+00:00;518;17;62,137
2023-01-18T00:40:37+00:00;518;16,9;62,138
2023-01-18T00:41:40+00:00;518;16,9;62,139
2023-01-18T00:42:43+00:00;517;16,9;62,14
2023-01-18T00:43:45+00:00;518;16,9;62,141
2023-01-18T00:44:48+00:00;518;16,9;62,142
2023-01-18T00:45:51+00:00;517;16,9;62,143
2023-01-18T00:46:54+00:00;517;16,8;62,144
2023-01-18T00:47:59+00:00;517;16,9;62,145
2023-01-18T00:48:59+00:00;517;16,9;62,146
2023-01-18T00:50:02+00:00;516;16,8;62,147
2023-01-18T00:51:04+00:00;514;16,9;62,148
2023-01-18T00:52:07+00:00;516;16,9;62,149
2023-01-18T00:53:10+00:00;514;16,9;62,15
2023-01-18T00:54:13+00:00;514;16,9;62,151
2023-01-18T00:55:15+00:00;513;17;62,152
2023-01-18T00:56:21+00:00;513;17;62,153
2023-01-18T00:57:21+00:00;513;17;62,154
2023-01-18T00:58:23+00:00;512;17;62,155
2023-01-18T00:59:26+00:00;512;17,1;62,156
2023-01-18T01:00:29+00:00;512;17,2;62,157
2023-01-18T01:01:32+00:00;512;17,3;62,158
2023-01-18T01:02:34+00:00;512;17,2;62,159
2023-01-18T01:03:37+00:00;511;17,2;62,16
2023-01-18T01:04:40+00:00;511;17,2;62,161
2023-01-18T01:05:45+00:00;511;17,2;62,162
2023-01-18T01:06:45+00:00;511;17,2;62,163
2023-01-18T01:07:48+00:00;511;17,2;62,164
2023-01-18T01:08:51+00:00;510;17,1;62,165
2023-01-18T01:09:53+00:00;510;17,1;62,166
2023-01-18T01:10:56+00:00;510;17,1;62,167
2023-01-18T01:11:59+00:00;509;17,1;62,168
2023-01-18T01:13:01+00:00;509;17,1;62,169
2023-01-18T01:14:04+00:00;509;17,1;62,17
2023-01-18T01:15:07+00:00;509;17,1;62,171
2023-01-18T01:16:10+00:00;508;17;62,172
2023-01-18T01:17:12+00:00;508;17;62,173
2023-01-18T01:18:15+00:00;508;17;62,174
2023-01-18T01:19:18+00:00;507;17;62,175
2023-01-18T01:20:21+00:00;512;16,9;62,176
2023-01-18T01:21:23+00:00;507;16,9;62,177
2023-01-18T01:22:26+00:00;506;16,9;62,178
2023-01-18T01:23:29+00:00;461;16,9;62,179
2023-01-18T01:24:31+00:00;486;16,9;62,18
2023-01-18T01:25:34+00:00;486;16,9;62,181
2023-01-18T01:26:37+00:00;486;16,9;62,182
2023-01-18T01:27:40+00:00;487;16,9;62,183
2023-01-18T01:28:42+00:00;487;16,9;62,184
2023-01-18T01:29:45+00:00;488;16,9;62,185
2023-01-18T01:30:48+00:00;485;16,9;62,186
2023-01-18T01:31:50+00:00;490;16,9;62,187
2023-01-18T01:32:53+00:00;493;16,9;62,188
2023-01-18T01:33:56+00:00;494;16,9;62,189
2023-01-18T01:34:59+00:00;495;16,9;62,19
2023-01-18T01:36:01+00:00;497;16,9;62,191
2023-01-18T01:37:04+00:00;496;16,9;62,192
2023-01-18T01:38:07+00:00;495;16,8;62,193
2023-01-18T01:39:09+00:00;494;16,8;62,194
2023-01-18T01:40:12+00:00;495;16,8;62,195
2023-01-18T01:41:15+00:00;495;16,8;62,196
2023-01-18T01:42:18+00:00;494;16,8;62,197
2023-01-18T01:43:20+00:00;494;16,8;62,198
2023-01-18T01:44:23+00:00;493;16,8;62,199
2023-01-18T01:45:26+00:00;499;16,8;62,2
2023-01-18T01:47:00+00:00;494;16,8;62,201
2023-01-18T01:48:03+00:00;493;16,8;62,202
2023-01-18T01:49:05+00:00;492;16,7;62,203
2023-01-18T01:50:08+00:00;490;16,7;62,204
2023-01-18T01:51:11+00:00;490;16,7;62,205
2023-01-18T01:52:14+00:00;489;16,7;62,206
2023-01-18T01:53:16+00:00;488;16,7;62,207
2023-01-18T01:54:19+00:00;487;16,7;62,208
2023-01-18T01:55:22+00:00;488;16,7;62,209
2023-01-18T01:56:25+00:00;486;16,7;62,21
2023-01-18T01:57:27+00:00;485;16,7;62,211
2023-01-18T01:58:30+00:00;484;16,7;62,212
2023-01-18T01:59:33+00:00;483;16,7;62,213
2023-01-18T02:00:36+00:00;465;16,6;62,214
2023-01-18T02:01:39+00:00;474;16,6;62,215
2023-01-18T02:02:41+00:00;473;16,6;62,216
2023-01-18T02:03:44+00:00;483;16,5;62,217
2023-01-18T02:04:47+00:00;463;16,5;62,218
2023-01-18T02:05:49+00:00;480;16,5;62,219
2023-01-18T02:06:52+00:00;456;16,5;62,22
2023-01-18T02:07:55+00:00;453;16,5;62,221
2023-01-18T02:08:58+00:00;484;16,5;62,222
2023-01-18T02:10:00+00:00;483;16,5;62,223
2023-01-18T02:11:03+00:00;483;16,5;62,224
2023-01-18T02:12:06+00:00;483;16,5;62,225
2023-01-18T02:13:09+00:00;482;16,5;62,226
2023-01-18T02:14:12+00:00;481;16,6;62,227
2023-01-18T02:15:15+00:00;477;16,5;62,228
2023-01-18T02:16:17+00:00;483;16,5;62,229
2023-01-18T02:17:20+00:00;450;16,5;62,23
2023-01-18T02:18:23+00:00;476;16,5;62,231
2023-01-18T02:19:25+00:00;477;16,5;62,232
2023-01-18T02:20:28+00:00;459;16,5;62,233
2023-01-18T02:21:31+00:00;474;16,5;62,234
2023-01-18T02:22:34+00:00;470;16,5;62,235
2023-01-18T02:23:36+00:00;459;16,5;62,236
2023-01-18T02:24:39+00:00;483;16,5;62,237
2023-01-18T02:25:42+00:00;484;16,5;62,238
2023-01-18T02:26:45+00:00;484;16,4;62,239
2023-01-18T02:27:47+00:00;484;16,4;62,24
2023-01-18T02:28:50+00:00;484;16,5;62,241
2023-01-18T02:29:53+00:00;489;16,5;62,242
2023-01-18T02:30:56+00:00;483;16,4;62,243
2023-01-18T02:31:59+00:00;483;16,5;62,244
2023-01-18T02:33:01+00:00;490;16,5;62,245
2023-01-18T02:34:04+00:00;484;16,5;62,246
2023-01-18T02:35:07+00:00;489;16,5;62,247
2023-01-18T02:36:10+00:00;483;16,5;62,248
2023-01-18T02:37:13+00:00;483;16,5;62,249
2023-01-18T02:38:15+00:00;488;16,5;62,25
2023-01-18T02:39:18+00:00;483;16,5;62,251
2023-01-18T02:40:21+00:00;482;16,5;62,252
2023-01-18T02:41:23+00:00;482;16,6;62,253
2023-01-18T02:42:26+00:00;482;16,5;62,254
2023-01-18T02:43:29+00:00;482;16,6;62,255
2023-01-18T02:44:32+00:00;483;16,6;62,256
2023-01-18T02:45:35+00:00;482;16,6;62,257
2023-01-18T02:46:38+00:00;483;16,5;62,258
2023-01-18T02:47:41+00:00;482;16,5;62,259
2023-01-18T02:48:43+00:00;482;16,5;62,26
2023-01-18T02:49:46+00:00;481;16,5;62,261
2023-01-18T02:50:49+00:00;481;16,5;62,262
2023-01-18T02:51:52+00:00;480;16,5;62,263
2023-01-18T02:52:54+00:00;486;16,5;62,264
2023-01-18T02:53:57+00:00;481;16,5;62,265
2023-01-18T02:55:00+00:00;481;16,4;62,266
2023-01-18T02:56:03+00:00;486;16,4;62,267
2023-01-18T02:57:06+00:00;480;16,4;62,268
2023-01-18T02:58:09+00:00;481;16,4;62,269
2023-01-18T02:59:12+00:00;481;16,4;62,27
2023-01-18T03:00:15+00:00;487;16,4;62,271
2023-01-18T03:01:17+00:00;481;16,5;62,272
2023-01-18T03:02:20+00:00;487;16,5;62,273
2023-01-18T03:03:23+00:00;481;16,5;62,274
2023-01-18T03:04:26+00:00;486;16,5;62,275
2023-01-18T03:05:29+00:00;487;16,5;62,276
2023-01-18T03:06:32+00:00;480;16,6;62,277
2023-01-18T03:07:34+00:00;481;16,6;62,278
2023-01-18T03:08:37+00:00;481;16,5;62,279
2023-01-18T03:09:40+00:00;481;16,5;62,28
2023-01-18T03:10:43+00:00;480;16,5;62,281
2023-01-18T03:11:46+00:00;481;16,5;62,282
2023-01-18T03:12:49+00:00;480;16,5;62,283
2023-01-18T03:13:51+00:00;480;16,5;62,284
2023-01-18T03:14:54+00:00;486;16,5;62,285
2023-01-18T03:15:57+00:00;480;16,5;62,286
2023-01-18T03:17:00+00:00;480;16,5;62,287
2023-01-18T03:18:03+00:00;480;16,4;62,288
2023-01-18T03:19:06+00:00;480;16,4;62,289
2023-01-18T03:20:09+00:00;480;16,4;62,29
2023-01-18T03:21:12+00:00;478;16,4;62,291
2023-01-18T03:22:15+00:00;478;16,4;62,292
2023-01-18T03:23:17+00:00;478;16,4;62,293
2023-01-18T03:24:20+00:00;478;16,4;62,294
2023-01-18T03:25:23+00:00;480;16,4;62,295
2023-01-18T03:26:26+00:00;484;16,4;62,296
2023-01-18T03:27:29+00:00;478;16,4;62,297
2023-01-18T03:28:31+00:00;477;16,4;62,298
2023-01-18T03:29:34+00:00;485;16,4;62,299
2023-01-18T03:30:38+00:00;478;16,4;62,3
2023-01-18T03:31:41+00:00;477;16,4;62,301
2023-01-18T03:32:43+00:00;484;16,4;62,302
2023-01-18T03:33:46+00:00;477;16,4;62,303
2023-01-18T03:34:49+00:00;478;16,4;62,304
2023-01-18T03:35:52+00:00;477;16,3;62,305
2023-01-18T03:36:54+00:00;476;16,3;62,306
2023-01-18T03:37:57+00:00;475;16,3;62,307
2023-01-18T03:39:00+00:00;477;16,3;62,308
2023-01-18T03:40:03+00:00;475;16,3;62,309
2023-01-18T03:41:06+00:00;476;16,3;62,31
2023-01-18T03:42:09+00:00;483;16,3;62,311
2023-01-18T03:43:14+00:00;482;16,3;62,312
2023-01-18T03:44:14+00:00;475;16,3;62,313
2023-01-18T03:45:17+00:00;482;16,3;62,314
2023-01-18T03:46:20+00:00;475;16,3;62,315
2023-01-18T03:47:23+00:00;476;16,2;62,316
2023-01-18T03:48:26+00:00;475;16,2;62,317
2023-01-18T03:49:29+00:00;474;16,2;62,318
2023-01-18T03:50:32+00:00;474;16,2;62,319
2023-01-18T03:51:35+00:00;481;16,2;62,32
2023-01-18T03:52:37+00:00;474;16,2;62,321
2023-01-18T03:53:40+00:00;474;16,3;62,322
2023-01-18T03:54:43+00:00;474;16,2;62,323
2023-01-18T03:55:46+00:00;474;16,2;62,324
2023-01-18T03:56:49+00:00;481;16,2;62,325
2023-01-18T03:57:51+00:00;473;16,2;62,326
2023-01-18T03:58:54+00:00;473;16,2;62,327
2023-01-18T03:59:57+00:00;473;16,1;62,328
2023-01-18T04:01:00+00:00;473;16,1;62,329
2023-01-18T04:02:03+00:00;480;16;62,33
2023-01-18T04:03:06+00:00;472;16;62,331
2023-01-18T04:04:09+00:00;472;16;62,332
2023-01-18T04:05:12+00:00;478;16;62,333
2023-01-18T04:06:14+00:00;472;16,1;62,334
2023-01-18T04:07:17+00:00;472;16;62,335
2023-01-18T04:08:20+00:00;478;16,1;62,336
2023-01-18T04:09:23+00:00;472;16,1;62,337
2023-01-18T04:10:25+00:00;472;16,1;62,338
2023-01-18T04:11:28+00:00;478;16,1;62,339
2023-01-18T04:12:31+00:00;472;16,2;62,34
2023-01-18T04:13:34+00:00;477;16,2;62,341
2023-01-18T04:14:37+00:00;471;16,3;62,342
2023-01-18T04:15:39+00:00;471;16,3;62,343
2023-01-18T04:16:42+00:00;471;16,3;62,344
2023-01-18T04:17:48+00:00;471;16,3;62,345
2023-01-18T04:18:48+00:00;470;16,4;62,346
2023-01-18T04:19:51+00:00;470;16,4;62,347
2023-01-18T04:20:54+00:00;471;16,5;62,348
2023-01-18T04:21:56+00:00;471;16,5;62,349
2023-01-18T04:22:59+00:00;470;16,5;62,35
2023-01-18T04:24:02+00:00;471;16,5;62,351
2023-01-18T04:25:05+00:00;471;16,5;62,352
2023-01-18T04:26:08+00:00;470;16,5;62,353
2023-01-18T04:27:10+00:00;471;16,5;62,354
2023-01-18T04:28:13+00:00;471;16,5;62,355
2023-01-18T04:29:16+00:00;471;16,5;62,356
2023-01-18T04:30:19+00:00;470;16,5;62,357
2023-01-18T04:31:22+00:00;470;16,5;62,358
2023-01-18T04:32:25+00:00;475;16,5;62,359
2023-01-18T04:33:28+00:00;470;16,6;62,36
2023-01-18T04:34:30+00:00;469;16,6;62,361
2023-01-18T04:35:33+00:00;469;16,6;62,362
2023-01-18T04:36:36+00:00;469;16,6;62,363
2023-01-18T04:37:38+00:00;469;16,6;62,364
2023-01-18T04:38:41+00:00;475;16,6;62,365
2023-01-18T04:39:44+00:00;469;16,6;62,366
2023-01-18T04:40:47+00:00;474;16,6;62,367
2023-01-18T04:41:50+00:00;469;16,6;62,368
2023-01-18T04:42:53+00:00;469;16,5;62,369
2023-01-18T04:43:56+00:00;474;16,6;62,37
2023-01-18T04:44:58+00:00;469;16,6;62,371
2023-01-18T04:46:01+00:00;474;16,5;62,372
2023-01-18T04:47:04+00:00;474;16,5;62,373
2023-01-18T04:48:07+00:00;468;16,5;62,374
2023-01-18T04:49:10+00:00;466;16,5;62,375
2023-01-18T04:50:13+00:00;466;16,4;62,376
2023-01-18T04:51:16+00:00;468;16,3;62,377
2023-01-18T04:52:19+00:00;466;16,3;62,378
2023-01-18T04:53:22+00:00;466;16,3;62,379
2023-01-18T04:54:25+00:00;468;16,3;62,38
2023-01-18T04:55:28+00:00;468;16,2;62,381
2023-01-18T04:56:31+00:00;472;16,2;62,382
2023-01-18T04:57:33+00:00;473;16,2;62,383
2023-01-18T04:58:36+00:00;473;16,2;62,384
2023-01-18T04:59:39+00:00;466;16,2;62,385
2023-01-18T05:00:42+00:00;472;16,2;62,386
2023-01-18T05:01:45+00:00;465;16,2;62,387
2023-01-18T05:02:48+00:00;465;16,2;62,388
2023-01-18T05:03:50+00:00;465;16,2;62,389
2023-01-18T05:04:53+00:00;466;16,3;62,39
2023-01-18T05:05:56+00:00;465;16,3;62,391
2023-01-18T05:06:59+00:00;465;16,2;62,392
2023-01-18T05:08:02+00:00;464;16,2;62,393
2023-01-18T05:09:05+00:00;466;16,2;62,394
2023-01-18T05:10:07+00:00;464;16,2;62,395
2023-01-18T05:11:10+00:00;465;16,2;62,396
2023-01-18T05:12:13+00:00;465;16,2;62,397
2023-01-18T05:13:16+00:00;465;16,2;62,398
2023-01-18T05:14:19+00:00;471;16,2;62,399
2023-01-18T05:15:22+00:00;464;16,2;62,4
2023-01-18T05:16:25+00:00;464;16,2;62,401
2023-01-18T05:17:28+00:00;470;16,2;62,402
2023-01-18T05:18:30+00:00;463;16,2;62,403
2023-01-18T05:19:33+00:00;464;16,2;62,404
2023-01-18T05:20:36+00:00;463;16,2;62,405
2023-01-18T05:21:39+00:00;471;16,2;62,406
2023-01-18T05:22:42+00:00;470;16,1;62,407
2023-01-18T05:23:45+00:00;470;16,1;62,408
2023-01-18T05:24:48+00:00;463;16,2;62,409
2023-01-18T05:25:50+00:00;463;16,2;62,41
2023-01-18T05:26:53+00:00;470;16,2;62,411
2023-01-18T05:27:56+00:00;470;16,2;62,412
2023-01-18T05:28:59+00:00;463;16,2;62,413
2023-01-18T05:30:02+00:00;463;16,2;62,414
2023-01-18T05:31:05+00:00;463;16,2;62,415
2023-01-18T05:32:08+00:00;462;16,2;62,416
2023-01-18T05:33:10+00:00;470;16,2;62,417
2023-01-18T05:34:13+00:00;463;16,2;62,418
2023-01-18T05:35:16+00:00;462;16,1;62,419
2023-01-18T05:36:19+00:00;463;16,1;62,42
2023-01-18T05:37:22+00:00;463;16,1;62,421
2023-01-18T05:38:25+00:00;463;16,1;62,422
2023-01-18T05:39:28+00:00;463;16,2;62,423
2023-01-18T05:40:30+00:00;463;16,2;62,424
2023-01-18T05:41:33+00:00;470;16,1;62,425
2023-01-18T05:42:36+00:00;469;16,1;62,426
2023-01-18T05:43:39+00:00;469;16,1;62,427
2023-01-18T05:44:42+00:00;462;16,1;62,428
2023-01-18T05:45:45+00:00;462;16,1;62,429
2023-01-18T05:46:47+00:00;462;16,1;62,43
2023-01-18T05:47:50+00:00;462;16,1;62,431
2023-01-18T05:48:53+00:00;462;16,1;62,432
2023-01-18T05:49:56+00:00;462;16,1;62,433
2023-01-18T05:50:59+00:00;462;16,1;62,434
2023-01-18T05:52:02+00:00;469;16,2;62,435
2023-01-18T05:53:05+00:00;462;16,2;62,436
2023-01-18T05:54:07+00:00;462;16,2;62,437
2023-01-18T05:55:10+00:00;461;16,2;62,438
2023-01-18T05:56:13+00:00;468;16,2;62,439
2023-01-18T05:57:16+00:00;468;16,2;62,44
2023-01-18T05:58:19+00:00;468;16,2;62,441
2023-01-18T05:59:22+00:00;466;16,2;62,442
2023-01-18T06:00:25+00:00;466;16,2;62,443
2023-01-18T06:01:27+00:00;460;16,2;62,444
2023-01-18T06:02:30+00:00;465;16,2;62,445
2023-01-18T06:03:33+00:00;465;16,2;62,446
2023-01-18T06:04:36+00:00;460;16,2;62,447
2023-01-18T06:05:39+00:00;460;16,2;62,448
2023-01-18T06:06:42+00:00;459;16,2;62,449
2023-01-18T06:07:45+00:00;459;16,2;62,45
2023-01-18T06:08:47+00:00;459;16,3;62,451
2023-01-18T06:09:50+00:00;465;16,3;62,452
2023-01-18T06:10:53+00:00;464;16,3;62,453
2023-01-18T06:11:56+00:00;458;16,3;62,454
2023-01-18T06:12:59+00:00;464;16,3;62,455
2023-01-18T06:14:02+00:00;463;16,3;62,456
2023-01-18T06:15:05+00:00;463;16,3;62,457
2023-01-18T06:16:08+00:00;457;16,3;62,458
2023-01-18T06:17:10+00:00;457;16,3;62,459
2023-01-18T06:18:13+00:00;456;16,4;62,46
2023-01-18T06:19:16+00:00;456;16,4;62,461
2023-01-18T06:20:19+00:00;456;16,4;62,462
2023-01-18T06:21:22+00:00;456;16,4;62,463
2023-01-18T06:22:25+00:00;456;16,4;62,464
2023-01-18T06:23:27+00:00;456;16,4;62,465
2023-01-18T06:24:30+00:00;454;16,4;62,466
2023-01-18T06:25:33+00:00;454;16,4;62,467
2023-01-18T06:26:36+00:00;454;16,4;62,468
2023-01-18T06:27:39+00:00;461;16,4;62,469
2023-01-18T06:28:42+00:00;454;16,4;62,47
2023-01-18T06:29:45+00:00;454;16,4;62,471
2023-01-18T06:30:47+00:00;461;16,4;62,472
2023-01-18T06:31:50+00:00;454;16,4;62,473
2023-01-18T06:32:53+00:00;454;16,4;62,474
2023-01-18T06:33:56+00:00;454;16,4;62,475
2023-01-18T06:34:59+00:00;454;16,5;62,476
2023-01-18T06:36:02+00:00;453;16,5;62,477
2023-01-18T06:37:05+00:00;453;16,6;62,478
2023-01-18T06:38:07+00:00;453;16,6;62,479
2023-01-18T06:39:10+00:00;453;16,6;62,48
2023-01-18T06:40:13+00:00;460;16,6;62,481
2023-01-18T06:41:16+00:00;452;16,6;62,482
2023-01-18T06:42:19+00:00;452;16,6;62,483
2023-01-18T06:43:22+00:00;453;16,6;62,484
2023-01-18T06:44:25+00:00;453;16,6;62,485
2023-01-18T06:45:28+00:00;453;16,6;62,486
2023-01-18T06:46:30+00:00;452;16,6;62,487
2023-01-18T06:47:33+00:00;452;16,7;62,488
2023-01-18T06:48:36+00:00;452;16,6;62,489
2023-01-18T06:49:39+00:00;452;16,6;62,49
2023-01-18T06:50:42+00:00;451;16,6;62,491
2023-01-18T06:51:45+00:00;459;16,6;62,492
2023-01-18T06:52:48+00:00;458;16,6;62,493
2023-01-18T06:53:50+00:00;452;16,7;62,494
2023-01-18T06:54:53+00:00;451;16,7;62,495
2023-01-18T06:55:56+00:00;458;16,6;62,496
2023-01-18T06:56:59+00:00;451;16,7;62,497
2023-01-18T06:58:02+00:00;451;16,7;62,498
2023-01-18T06:59:05+00:00;451;16,7;62,499
2023-01-18T07:00:07+00:00;451;16,7;62,5
2023-01-18T07:01:10+00:00;451;16,7;62,501
2023-01-18T07:02:13+00:00;457;16,7;62,502
2023-01-18T07:03:16+00:00;450;16,7;62,503
2023-01-18T07:04:18+00:00;450;16,7;62,504
2023-01-18T07:05:21+00:00;451;16,6;62,505
2023-01-18T07:06:24+00:00;450;16,6;62,506
2023-01-18T07:07:27+00:00;457;16,6;62,507
2023-01-18T07:08:29+00:00;451;16,6;62,508
2023-01-18T07:09:32+00:00;451;16,7;62,509
2023-01-18T07:10:35+00:00;451;16,7;62,51
2023-01-18T07:11:38+00:00;451;16,8;62,511
2023-01-18T07:12:41+00:00;457;16,8;62,512
2023-01-18T07:13:44+00:00;451;16,8;62,513
2023-01-18T07:14:46+00:00;450;16,9;62,514
2023-01-18T07:15:49+00:00;461;16,8;62,515
2023-01-18T07:16:52+00:00;447;16,7;62,516
2023-01-18T07:17:55+00:00;463;16,7;62,517
2023-01-18T07:18:58+00:00;459;16,7;62,518
2023-01-18T07:20:01+00:00;458;16,7;62,519
2023-01-18T07:21:04+00:00;465;16,7;62,52
2023-01-18T07:22:06+00:00;460;16,7;62,521
2023-01-18T07:23:09+00:00;461;16,7;62,522
2023-01-18T07:24:12+00:00;461;16,6;62,523
2023-01-18T07:25:15+00:00;468;16,6;62,524
2023-01-18T07:26:18+00:00;461;16,7;62,525
2023-01-18T07:27:21+00:00;461;16,6;62,526
2023-01-18T07:28:23+00:00;468;16,6;62,527
2023-01-18T07:29:26+00:00;462;16,6;62,528
2023-01-18T07:30:29+00:00;462;16,6;62,529
2023-01-18T07:31:32+00:00;461;16,6;62,53
2023-01-18T07:32:35+00:00;468;16;62,531
2023-01-18T07:33:37+00:00;461;16;62,532
2023-01-18T07:34:40+00:00;461;16,1;62,533
2023-01-18T07:35:43+00:00;462;16,2;62,534
2023-01-18T07:36:46+00:00;461;16,2;62,535
2023-01-18T07:37:49+00:00;469;16,3;62,536
2023-01-18T07:38:51+00:00;469;16,4;62,537
2023-01-18T07:39:54+00:00;462;16,6;62,538
2023-01-18T07:40:57+00:00;462;16,3;62,539
2023-01-18T07:42:00+00:00;462;15,9;62,54
2023-01-18T07:43:03+00:00;468;15,6;62,541
2023-01-18T07:44:05+00:00;461;15,7;62,542
2023-01-18T07:45:08+00:00;468;15,8;62,543
2023-01-18T07:46:11+00:00;461;16;62,544
2023-01-18T07:47:14+00:00;468;16,1;62,545
2023-01-18T07:48:17+00:00;461;16,2;62,546
2023-01-18T07:49:20+00:00;461;16,3;62,547
2023-01-18T07:50:22+00:00;461;16,4;62,548
